,,Total Net Profit,Total Trades,In Trade Max Draw Down(Closed Bar),Profit to Max Draw,Closed Trade Max Draw,Profit to Closed Trade Max Draw,PercentWinners,DrawPeriods Over -30k,Average Draw Over -30k,Draw Periods Over -10k,Average Draw Over -10k,MaxWin,MaxLoss,Avg Win,Avg Loss,Long Trades,Short Trades,Percent Long
"(65,)","(4,)",377622.0,477,-91749.0,4.115815976195925,-89250.0,4.231058823529412,48.63,8,-53246.0,31,-25578.0,25536.0,-30177.0,6304.0,-4425.0,239,238,50.1
"(20,)","(10,)",392574.0,634,-99813.0,3.9330948874395117,-91077.0,4.310352778418261,49.37,11,-48199.0,38,-25055.0,20580.0,-25116.0,5552.0,-4183.0,317,317,50.0
"(95,)","(2,)",391566.0,706,-102417.0,3.8232519991798237,-90888.0,4.30822550831793,44.06,6,-60456.0,30,-24841.0,31605.0,-24570.0,4977.0,-2981.0,353,353,50.0
"(90,)","(2,)",303786.0,694,-80388.0,3.7789968652037618,-70938.0,4.282415630550622,44.61,6,-59258.0,28,-25569.0,37065.0,-25998.0,4882.0,-3149.0,347,347,50.0
"(80,)","(9,)",270480.0,291,-71946.0,3.7594862813777,-58233.0,4.644789037143887,46.39,11,-47951.0,32,-27867.0,28329.0,-26481.0,8946.0,-6018.0,145,146,49.83
"(65,)","(3,)",358428.0,565,-95487.0,3.7536837475258413,-90531.0,3.959174205520761,47.58,6,-54184.0,31,-24224.0,26208.0,-30177.0,5719.0,-3971.0,283,282,50.09
"(30,)","(7,)",376656.0,562,-101241.0,3.7203899605890896,-92841.0,4.057000678579507,50.0,9,-52295.0,28,-27900.0,27321.0,-23142.0,5892.0,-4525.0,281,281,50.0
"(60,)","(2,)",337848.0,893,-91182.0,3.7052049746660525,-84147.0,4.01497379585725,43.73,9,-50111.0,26,-29015.0,28434.0,-28266.0,4383.0,-2740.0,447,446,50.06
"(75,)","(10,)",333606.0,279,-90405.0,3.6901277584204415,-86625.0,3.851151515151515,47.84,10,-48766.0,32,-26753.0,31185.0,-25347.0,9327.0,-6262.0,139,140,49.82
"(45,)","(4,)",445788.0,570,-121359.0,3.6732998788717772,-118860.0,3.750530035335689,48.85,7,-61950.0,38,-24228.0,25935.0,-20475.0,5999.0,-4180.0,285,285,50.0
"(30,)","(6,)",396732.0,620,-108612.0,3.6527455529775716,-98637.0,4.022141792633596,49.84,9,-52941.0,32,-27009.0,27699.0,-19845.0,5496.0,-4160.0,310,310,50.0
"(85,)","(6,)",292656.0,363,-80577.0,3.63200416992442,-76566.0,3.8222709818979705,47.93,9,-53522.0,28,-30127.0,31857.0,-25872.0,7283.0,-5202.0,181,182,49.86
